side,cell,cik,subject_name,td,accession,bid12,ambiguous,n_bid_events,first_bid_date,first_bid_form,first_bid_route,first_bid_accession,excluded_prior_bid,prior_bid_any,filer_own_bid,extraction_status,window_coverage
treated,treated_post,0001087786,NUVEEN NEW JERSEY QUALITY MUNICIPAL INCOME FUND,2024-06-05,0000897101-24-000225,0.0,0,0,,,,,0,0,0,ok,full
treated,treated_post,0001556801,"My City Builders, Inc.",2025-01-22,0001640334-25-000144,0.0,0,0,,,,,0,0,0,ok,full
treated,treated_post,0001624512,Boxlight Corp,2025-06-11,0002073826-25-000001,0.0,0,0,,,,,0,0,0,ok,full
treated,treated_post,0001682149,Datavault AI Inc.,2025-10-23,0001193125-25-303063,,1,0,,,,,0,0,0,ok,full
treated,treated_post,0001914818,Starbox Group Holdings Ltd.,2024-05-07,0001493152-24-019231,0.0,0,0,,,,,0,0,0,ok,full
treated,treated_post,0002011286,"Amentum Holdings, Inc.",2024-12-17,0000950157-24-001703,0.0,0,0,,,,,1,1,0,ok,full
treated,treated_post,0002065948,Solarius Capital Acquisition Corp.,2025-07-17,0001185185-25-000812,0.0,0,0,,,,,0,0,0,ok,full
treated,treated_pre,0001016178,CARVER BANCORP INC,2022-12-20,0001607062-22-000756,0.0,0,0,,,,,0,0,0,ok,full
treated,treated_pre,0001130713,"OVERSTOCK.COM, INC",2023-10-12,0001013594-23-000799,0.0,0,0,,,,,0,0,0,ok,full
treated,treated_pre,0001409430,All American Gold Corp.,2022-09-01,0001903596-22-000564,0.0,0,0,,,,,0,0,0,ok,full
treated,treated_pre,0001421636,"C-Bond Systems, Inc",2023-01-17,0001213900-23-004858,0.0,0,0,,,,,0,0,0,ok,full
treated,treated_pre,0001587264,ENETI INC.,2023-12-15,0000950103-23-017866,0.0,0,0,,,,,1,1,0,ok,full
treated,treated_pre,0001776932,"MedMen Enterprises, Inc.",2021-01-11,0001829126-22-009179,0.0,0,0,,,,,0,0,0,ok,full
treated,treated_pre,0001800637,Agrify Corp,2024-01-25,0001213900-24-007418,1.0,0,2,2024-04-22,8-K,A,0001213900-24-034983,0,0,0,ok,full
treated,treated_pre,0001832487,"Guerrilla RF, Inc.",2023-09-06,0001437749-23-025999,0.0,0,0,,,,,0,0,0,ok,full
